Frase;Class
Estive na noite de ontem, no ato de filiação do Deputado Federal Eduardo Braide, ao partido PODEMOS. Na oportunidade, debatemos projetos de melhorias para a cidade de São Luís, em especial os bairros Sol e Mar, Divineia, Vila Luizão, Brisa do Mar, Santa Rosa, A. Costa P. Araçagy;1
O PARTIDO PODEMOS ROUBAR, JÁ COMEÇAM TRABALHAR PRAS ELEIÇOES DE 2020.EITAAA PODEMOS.#AlcolumbreMaquiavelico;-1
O lider do podemos19  no SenadoFederal, Alvaro Dias, participa do encontro do Podemos na tarde deste sábado (30/11);0
Em seguida, o prof_samarques deu boas vindas ao deputado EduardoBraide que se filiou ao partido Podemos neste final de semana e parabenizou o Sindicato dos Policiais Civis do Maranhão que realizou uma eleição sindical democrática.;0
O vereador Marcial Lima destacou a realização da filiação do Partido Podemos e parabenizou a realização das eleições da nova diretoria do Sindicato dos Policiais Civis do Maranhão.;0
No passado sábado - 30 de Nov. Na Cidade da Beira, realizamos uma reunião Nacional de Secretários do Partido PODEMOS com vista a alinhar estratégia de trabalho 2020 e formamos formadores sobre matéria de doutrina partidária. Objectivo: levar aos distritos nossa linha política;0
Surge através do Partido "Podemos" (podemosbahia), uma grande oportunidade do Esporte fazer parte do plano de governo de Salvador, com o retorno da Secretaria de Esportes, sendo gerada por gestores esportivos, com Políticas Públicas bem definidas. deputadobacelar;1
Na tribuna, o vereador Francisco Chaguinhas destaca o encontro realizado na última sexta-feira (29), para filiação de novos membros no Partido Podemos e chama a atenção para a falta de humanização por parte dos políticos no país;0
Um agente da SMTT contou-me (sim, eles sabem de muitas coisas e são fuxiqueiros) que Osmar Filho ex pré-candidato laranja do "maragatuno" para a prefeitura de SLZ, vai tentar o 4 mandato para vereador rainhadoma e querer se igualar à Pereirinha no poder MaranhaoTrue ...pode?;-1
Falar em candidatos à prefeitura, e Braide, que é uma excelente mudança na política de São Luís? A política da mudança e honestidade com seus eleitores é tão grande, que ele foi para o grupo de Zé Reinaldo e seu partido Podemos. Que Deus nos livre desse mal.;-1
Braide não é alternativa e nem será a cara da "nova política" e surgi forte para tentar a vaga infelizmente;-1
É só mais do mesmo. Nessa eleição, vou com o rubenspereirajr até de olhos fechados.;-1
Marco Feliciano foi expulso do partido Podemos, após uma série de acusações envolvendo inclusive assédio sexual no gabinete.Volto a dizer: Não fui a primeira vítima do Feliciano e muito menos a única, apenas a primeira a denunciá-lo.;-1
Esse Feliciano só entendeu mal o nome do partido podemos , ele achou que era phodemos.;-1
Moro, + popular, no partido Podemos para presidente em 2022? Segundo turno com Lula! Globo faz aposta, mas vai perder de novo!;0
Quanto mais defensor da igreja,  família, moral,  honestidade mais corrupto e sem valores, este é o Feliciano, este senhor foi expulso do seu partido podemos excesso de honestidade,  de fé,  amor a família e Deus;-1
Sem contar o lixo do Brasil 247 noticiando Moro contra Bolsonaro em 2022 através do partido podemos.;0
Partido Podemos expulsa pastor Marco Feliciano. Gastou 157 mil reais de dinheiro público com tratamento de dente. Pastor ladrão.;-1
Essa é a verdadeira face do partido PODEMOS. Não se iluda com Álvaro Dias. Esqueceu que ele sem quaisquer pudor disse na campanha que #Bolsonaro2022 estava morto? Velha política em ação.;-1
Feliciano é um dos deputados mais próximos do presidente JairBolsonaro e já fez parte da comitiva presidencial em viagens internacionais mais de uma vez.;-1
O partido PODEMOS  com a nova aquisição de Sérgio Moro vai mudar o nome pra FEDEMOS;-1
Marco Feliciano foi acusado por Patrícia Lelis de tentar estuprala, agora ele foi expulso do Partido Podemos acusado de assédio sexual, me parece que ele é realmente um predador sexual.Cadeia nesse falso profeta!;-1
+ segundo alguns lixos q circulam por aí... estupro de mulher bonita pode, as feias q não merecem! Por isso estamos vendo casos de estupro aumentando nesse país. Onde o certo é cuspir em cara de mulher, espancar, matar.;-1
Cadeia nele! Bandido! Castração química já !!!;-1
Esse aí e outro verme, instalado na política brasileira,o povo brasileiro tem que exterminar todos políticos inescrupuloso, ladrão pedófilos, estuprador que está usando o cargo políticos para si camuflar,e usar o foro previlegiado para. Si proteger.;-1
Todo puritano no fundo é um depravado!!!;-1
Pena que não vá preso como as pessoas comuns...;-1
Disseram que a Patrícia Lelis era maluca.;-1
É uma caça-dotes Deu pra tudo q é político.Lembro q ela sabia de detalhes da casa do Feliciano, e tbm n duvido q pegou o eduardo Bolsonaro Depois se nada der certo, tenta a extorsão;1
Não é sintomático que o termo #DireitosHumanos esteja entre os "assuntos do momento" no Twitter em outros idiomas como menos em português do Brasil?;0
Esse Feliciano e seus 'parsas' Eduardo Cunha, Silas Malafaia, Jair Bolsonaro, Edir Macedo, Valdemiro são verdadeiras aberrações humanas.;-1
"O SANGUE DE JESUS TEM PODER." Tenha paciência, que Jesus esta cuidando primeiro dos mais necessitados, a familia de Marco Feliciano.  Posteriormente ele vai resolver seu problema, seja doença ou  fome, que é menos relevante."Só Jesus na causa" mesmo.;-1
Partido Podemos expulsa Marco Feliciano: vice-lider do governo na Câmara, o pastor é acusado de Assédio Sexual, recebimento de Propina, chefia de Esquema envolvendo Funcionários Fantasmas. O bolsonarista usou recentemente 157mil públicos para pagar '' Novos Dentes ";-1
O sorriso amarelo de Feliciano, expulso do seu partido. Podemos rir?;-1
Parabéns ao Partido Podemos pela expulsão sumária de Feliciano. Não titubearam, não procrastinaram.;1
A Cúpula do Partido Podemos expulsou o deputado Marco Feliciano (SP). A decisão foi tomada pelo comando da legenda por oito votos a zero e foi comunicada ao parlamentar pelo presidente estadual do Podemos, Mario Covas Neto.;0
Ou melhor o Marcos Feliciano foi expulso do PARTIDO PODEMOS,pelo fato de apoiar o Presidente Jair Messias Bolsonaro. Por isso o motivo de ficar orgulhoso.;0
Não precisa esperar as 24 horas. Não vou tirar merda nenhuma do ar. Vou vencer você na justiça assim como já venci dezenas. Com você, antecipo até o argumento: exceção da verdade. Você foi expulso por isso. Vergonha! Venha, Feliciano, me processe. Estou morrendo de medo de você.;0
Caro Fabio Pannunzio blogdopannunzio , o Sr. tem 24h p/ se desculpar publicamente pela calúnia e difamação praticadas contra mim, sob penas das medidas cíveis e criminais cabíveis. Além disso, requeiro direito de reposta nos termos da L. 13.188. Tuítes devidamente printados.;0
A partir da sua tese de defesa (boa, mas há melhores), me parece que o Deputado somente teria condições de uma vitória judicial se, igualmente, conseguisse mudar judicialmente a decisão do Partido Podemos, que segundo noticiário o expulsou por transgredir condutas éticas.;1
#CongressoSemReeleicao MARCOS FELICIANO É EXPULSO DO PODEMOS POR APOIAR BOLSONARO. ESSE PARTIDO PODEMOS É O PARTIDO DO TRAÍRA ALVARO DIAS, LOBO EM PELE DE CORDEIRO, TOTALMENTE CONTRA O PR jairbolsonaro;-1
O PODEMOS LIMPA A "ÁREA" PARA MORO 2022. O dep.federal Marco Feliciano (SP) foi expulso nesta segunda (9) do Podemos. O diretório da sigla em SP acatou representação que cita a proximidade de Feliciano com Bolsonaro e acusações de assédio sexual.;-1
Seu bosta!!! Demorou pra sair.O Partido Podemos é a única opção dos eleitores que não terão candidatos do NOVO em suas cidades;1
O partido podemos te expulsou pq ? A imprensa fala em corrupção e outras coisas e o senhor o que diz ?;0
Pelas atitudes do partido podemos reconhecer que só tem desprezíveis lá dentro.#Bolsonaro2022;-1
Partido Podemos/SP é lixo.;-1
Patrícia Lélis SURTADA publica vídeos/tuites dizendo q há nova acusação d assédio contra mim.Mentira! Podemos/SP usou acusação falsa q ela fez p/ me expulsar. Lelis é denunciada pelo MP por tentativa de extorsão, e condenada a me pagar 150 mil por danos morais. Fugiu do país!;1
Dep Feliciano, estamos observando seu apoio ao PR. Esse partido PODEMOS, não vai conseguir nos enganar nas próximas eleições.;-1
O arautos da moralidade é expulso do Partido Podemos por corrupção e assédio sexual. Satanás deve está orgulho agora da sua cria!;-1
O partido Podemos enfatiza que a acusação de assédio aconteceu no gabinete do Feliciano, o que mais uma vez prova que ele mente ao dizer que usaram do meu caso. Eu não trabalho no gabinete, e comigo o episódio aconteceu fora da Câmara de Federal. Cada coisa...;0
O partido Podemos ao qual estava filiado Marco Feliciano, não está horrorizado pelas frequentes defesas ao Bozo, corrupção, funcionários fantasmas e até o que é recorrente e o mundo animal sabe, que ele assedia.;-1
PARTIDO PODEMOS(FUNDADO PARA SER O DIFERENTE) ESTÁ CHEIO DE CORRUPTOS, VINDOS DE OUTRAS LEGENDAS ,PHS,PR,E OUTRAS. TEVE ONTEM CASSADO O MANDADO DA SENADORA CONHECIDA POR MORO DE SAIA SELMA ARRUDA,POR CRIME DE CAIXA 2,O MESMO CRIME DE BOLSANARO EX.PSL.;-1
Bom dia! Gostaria de convidar você a fazer parte do Lançamento do Diretório do nosso partido PODEMOS 19 em Presidente Figueiredo.O Podemos é um partido que tem a genética das grandes transformações;1
Feliciano orgulhoso de ter sido expulso do partido Podemos - RENOVA Mídia;0
Achei correto a expulsão do Pastor Marco Feliciano do Partido PODEMOS por assédio e corrupção. Gastar 157 mil com os dentes é uma injustiça com tantos torcedores Banguela do Santa Cruz que tem por aí. ;1
Senador, o seu partido “PODEMOS” está muito forte, e pode pressionar para acabar com esses privilégios. O que está acontecendo é uma excrescência. Se tivéssemos uma monarquia seria muito mais barato. Esses ex roubaram no exercício da função, e continuam sendo premiados.;1
Na manhã desta segunda-feira (16) estive presente no encontro Estadual do Partido Podemos realizado no Auditório do Le Monde, na Barra da Tijuca, por convite do partido para que eu seja Pré-Candidato a Vereador para concorrer as eleições em 2020 por São Gonçalo-RJ.;0
Rapaz ele quer vestir a camisa contra a corrupção esse partido podemos,mais um enganador que nem o novo;-1
Na noite desta quarta-feira(18), foi com muito orgulho que recebir a maior honraria  da Câmara Municipal de São Luís, a medalha  Simão Estácio da Silveira, indicada pelo Vereador Sá  Marques(do partido podemos), e;0
Se o Juiz Sérgio Moro se juntar ao partido PODEMOS.. do Álvaro Dias.. Ele perde minha confiança!!;-1
Da série: Agora vai... O pastor picaretar e bajulador do miliciano incompetente Bolsonaro, Marco Feliciano, que foi expulso do partido Podemos por maracutaias e assédio sexual, agora quer ser prefeito de São Paulo. Se for eleito, vai roubar até as...;-1
95% É norte e nordeste. 1 do partido #podemos  do senador #AlvaroDias.;1
Rosângela Moro é provável candidata a vice-prefeita de Curitiba;0
Isso porque o casal nunca pensou ou agiu com interesses políticos...🤨Por qual partido, Podemos, PSL ou Aliança?;0
MP-SP pede cassação de 4 deputados federais por esquemas com ‘laranjas’. marcofeliciano renataabreudep;-1
Estive pela manhã em Ribeirão Pires, cidade que sempre me acolhe muito bem. Dessa vez, fui com a RenataAbreuDep participar da entrega de veículos que foram adquiridos com recursos provenientes de emenda dela para a Prefeitura. Os carros serão usados na área da saúde.;1
RenataAbreu1919 EduardoBraga_AM Acho justo. Quem ganha muito e que deve pagar mais;1
Obrigado, Deputada! Não à Pior Aposentadoria Policial do Mundo ⁦RenataAbreu1919⁩ RenataAbreuDep;1
A proposta de reforma apresentada é injusta com a mulher trabalhadora rural e é injusta com o servidor público que está no sistema há mais de 15 anos, por não prever regra de transição. Sem regra de transição para todos acaba sendo injusta a reforma.;-1
Tomara seja daquelas leis que “não pegam” e são esquecidas. RT alvarodias: Juiz de garantias: além de inconstitucional é impraticável. Moro explica . AlvaroDias;-1
99,9999999 % de reprovação. O resto, foi descuido da casa que deu resultado para nós. No mais... O STF não deixa de ser um antro de ABUTRES TRAVESTIDOS DE MINISTROS e que praticam o jurídico laxativo... Amigos de bandidos, bandidos são.;0
Tá aí nosso novo ministro da economia.;1
O CERTO É O GOVERNADOR REDUZIR O ICMS. Não venha com CANALHICE Preço do gás segue dólar e coação internacional. SOBE O PREÇO SOBE A ARRECADAÇÃO DO GOVERNADOR;0




